"bancada", "partido"
"PdtPros...", "PDT"
"PdtPros...", "PROS"
"PpPrPsd", "PP"
"PpPrPsd", "PR"
"PpPrPsd", "PSD"
"Repr.PPL, "PPL"
"Repr.PRP, "PRP"
"PdtPodePros...", "PDT"
"PdtPodePros...", "PODE"
"PdtPodePros...", "PROS"
"Repr.PMN, "PMN"
"PMDB", "PMDB"
"PpPodeAvantePen", "PP"
"PpPodeAvantePen", "PODE"
"PpPodeAvantePen", "AVANTE"
"PpPodeAvantePen", "PEN"
"PtbPros", "PTB"
"PtbPros", "PROS"
"Repr.PV, "PV"
"Repr.PHS, "PHS"
"PROS", "PROS"
"PdtSdPode...", "PDT"
"PdtSdPode...", "SOLIDARIEDADE"
"PdtSdPode...", "PODE"
"Maioria", "Maioria"
"Avante", "Avante"
"PslPpPsd...", "PSL"
"PslPpPsd...", "PP"
"PslPpPsd...", "PSD"
"PR", "PR"
"PSC", "PSC"
"Patriota", "PATRIOTA"
"PL", "PL"
"PPS", "PPS"
"PV", "PV"
"Repr.REDE, "REDE"
"CIDADANIA", "CIDADANIA"
"PpMdbPtb", "PP"
"PpMdbPtb", "MDB"
"PpMdbPtb", "PTB"
"Podemos", "PODEMOS"
"PSL", "PSL"
"Oposição", "Oposição"
"GOV.", "GOV."
"DEM", "DEM"
"Minoria", "Minoria"
"PDT", "PDT"
"PSD", "PSD"
"PSDB", "PSDB"
"PCdoB", "PCdoB"
"Solidaried", "SOLIDARIEDADE"
"NOVO", "NOVO"
"PRB", "PRB"
"PSB", "PSB"
"PSOL", "PSOL"
"PT", "PT"
